over,short_text,long_text
18.4,"Nortje to Krunal, 1 run","yorker just outside off, jabs it into the covers, runs to the other end with his arms aloft. Krunal Pandya seals the run that gives Mumbai Indians their fifth title"
18.3,"Nortje to Pandya, OUT","taken at midwicket. Short ball, rolls the fingers on it outside off. At his throat, and he's taken his eyes off it as he looks for the hook. Slices gently for Rahane who takes a few steps to his right to hold on"
18.2,"Nortje to Ishan, 1 run","low full toss just outside off, shuffles and punches to long-on to level the scores"
18.1,"Nortje to Pandya, 1 run","short of a length at middle stump, punched aerially off the back foot to long-on's left"
17.6,"Rabada to Pandya, 1 run",short and into the body. Shuffles and dabs to midwicket's right
17.5,"Rabada to Pandya, no run",past the outside edge. Short of a length and rising steeply outside off. Shuffles to line up the pull but that cross-seam ball goes straight on and forces him to withdraw is shot
17.4,"Rabada to Ishan, 1 run","slower ball at a length on leg stump, flicked to fine leg"
17.3,"Rabada to Ishan, FOUR runs","slower ball, short of a length and across the corridor. Waits on it, opens the face and steers it past short third man"
17.2,"Rabada to Pandya, 1 run","good length outside off, on the back foot to push this to sweeper's right"
17.1,"Rabada to Pollard, OUT","inside edge onto middle stump. Looks like a slower length ball from Rabada, wide outside off. Static feet as Pollard reaches out and looks to lift that over the overs. He's through it early"
16.6,"Nortje to Pollard, 1 run","good length on leg stump, thick inside edge to deep square as he swishes at this 150.5kph ball"
16.5,"Nortje to Pollard, FOUR runs","flicked to the midwicket boundary. Full and at the stumps at 147kph. Stands tall and times the flick to percection, to midwicket's left and giving deep square no chance"
16.4,"Nortje to Pollard, FOUR runs","lofts his first ball over mid-off. Oh he wants his 15th T20 title in a hurry. Overpitched outside off, gets a stride out and extends his arms to nail the connection on this"
16.3,"Nortje to Ishan, 1 run","short of a length just outside off, sliced to third man"
16.2,"Nortje to Rohit Sharma, OUT","oh a sensational catch in the outfield. Delhi's Lalit Yadav has plucked one at deep midwicket. It's a slower short ball outside off, he plays the pull to a ball that's continuously getting big on him. Drags it over midwicket. Lalit is at a straight deep square leg position and runs to his left as this is about to dip and plop into the floor. Puts in a full length dive low to his left, slides gracefully along his two elbows and holds on to that. A standing ovation for Mumbai's captain as he goes back into the dugout. He's put them on the brink"
16.1,"Nortje to Rohit Sharma, no run","yorker at middle stump, jammed out into the leg side"
15.6,"Dubey to Rohit Sharma, 1 run","full on off stump, driven along the floor to long-off"
15.5,"Dubey to Rohit Sharma, no run","short and wide outside off, cut to cover point"
15.4,"Dubey to Ishan, 1 run","good length at middle stump, leans in and flicks to deep midwicket"
15.3,"Dubey to Ishan, FOUR runs",slapped off the front foot this time. Short and sitting up a little wider this time. Uses his stride to get at it and swats it to long-off's right. Quickly wide of Hetmyer down there
15.2,"Dubey to Ishan, FOUR runs","hammered past extra cover! Short of a length, sitting nicely up outside off. Gets deep in the crease, waits and waits and gets a rapid bat speed on the back foot punch"
15.1,"Dubey to Rohit Sharma, 1 run","full outside off, reaches out and drives to long-off"
14.6,"Stoinis to Rohit Sharma, 1 run","low full toss on off stump, flicked out to deep midwicket"
14.5,"Stoinis to Ishan, 1 run","bouncer at middle stump, hurried hoick to deep square's left"
14.4,"Stoinis to Ishan, SIX runs","pumps it over the long-off boundary! Wow. Incredible how sweetly he hits these despite what appears a short reach. This is lobbed up like an offbreak, wide outside off. He gets low on the front foot, reaches out and absolutely crunches this from that base"
14.3,"Stoinis to Rohit Sharma, 1 run",offbreak from a good length outside off. Allows it into the corridor and chops to short third
14.2,"Stoinis to Rohit Sharma, no run","full slower ball, wide outside off. Mistimed drive to extra cover"
14.1,"Stoinis to Ishan, 1 run",ood length and angled across him. Punched to sweeper's from the crease
13.6,"Axar Patel to Rohit Sharma, no run","full on off stump, driven back to the bowler"
13.5,"Axar Patel to Ishan, 1 run","good length at leg stump, punched to deep midwicket's right off the back foot"
13.4,"Axar Patel to Ishan, no run",short of a length and sliding on outside off. Beaten on the late cut
13.3,"Axar Patel to Rohit Sharma, 1 run",short of a length and turning away from middle. Gets deep and clips through vacant midwicket
13.2,"Axar Patel to Ishan, 1 run",short of a length and into off stump. Punched to long-on off the back foot
13.1,"Axar Patel to Rohit Sharma, 1 run","short of a length outside off, on the back foot to punch to sweeper cover"
12.6,"Ashwin to Ishan, 2 runs","squares him up. The first delivery of the type. Unfortunately for Ashwin, it's his last of the season. Cross seam offbreak, turns from leg stump. Kishan follows with his hands and gets an edge to slip's left"
12.5,"Ashwin to Rohit Sharma, 1 run","good length, a carrom ball at off stump. Waits on that and clips to deep midwicket's left"
12.4,"Ashwin to Rohit Sharma, FOUR runs","oh too easy. Short and wide outside off, hangs back in the crease and cuts that to cover point's left. Boundaries from his last three deliveries"
12.3,"Ashwin to Ishan, 1 run","good length at middle stump, tossed up slow. Gets down for the sweep and it's off the top edge and into the short fine leg region"
12.2,"Ashwin to Rohit Sharma, 1 run","good length on off stump, dropped into the covers with soft hands"
12.1,"Ashwin to Ishan, 1 run","good length at off stump, leans in and drives along the ground to long-off"
11.6,"Rabada to Rohit Sharma, FOUR runs","slashed past point. Short and wide outside off, gets his weight onto his back leg and transfers it through this square drive"
11.5,"Rabada to Rohit Sharma, FOUR runs","slower ball slammed in short outside off. Waits on that and drags it over midwicket, who is in the circle. That is fifty.  His first since October 1"
11.4,"Rabada to Rohit Sharma, no run","good length at off stump, defended off the back foot"
11.3,"Rabada to Ishan, 1 run","slower short ball just outside off, runs it to third man with the angle"
11.2,"Rabada to Rohit Sharma, 1 run",good length and into leg stump. Flicked to fine leg's left
11.1,"Rabada to Ishan, 1 run","length ball wide outside off, gets big on him as he leans in for the drive on the rise. Thick outside edge to third man"
10.6,"Ashwin to Ishan, 1 run","good length on off stump, leans in and punches uppishly to long-off"
10.5,"Ashwin to Rohit Sharma, OUT","Suryakumar has sacrificed his wicket. Length ball outside off, punched to extra cover's right off the back foot. Rohit's taken off for the run. SKY is ball-watching. Rohit's made it to the other end as the throw comes in on the bounce to the keeper. Suryakumar leaves the crease and Rohit is on his haunches and distraught. It was Rohit's call, SKY doesn't respond to it. But he's made the decision to let the better set batsman take Mumbai through"
10.4,"Ashwin to Rohit Sharma, no run","carrom again, at a length on middle stump. Defended on the front foot"
10.3,"Ashwin to Yadav, 1 run","length at middle, punched to long-on off the back foot"
