match_no,batting_team,batting_side,overs,runs,"bowler_to_batsman, runs",commentary
1,AFG,2,0.1,1,"Madushanka to Hazratullah Zazai, 1 run",nudged down to fine leg for a single
1,AFG,2,0.2,0,"Madushanka to Rahmanullah, no run","lovely delivery, Holds its line and beats the defensive straight bat"
1,AFG,2,0.3,1lb,"Madushanka to Rahmanullah, 1 leg bye",shaping back into him. He squeezes it thbrough the onside for a single
1,AFG,2,0.4,0,"Madushanka to Hazratullah Zazai, no run","driven to extra cover, where it's well fielded"
1,AFG,2,0.5,5w,"Madushanka to Hazratullah Zazai, 5 wide","well, that's help. 5 free runs gifted to Afghamistan, as this is so far down leg the keeper can do nought about it"
1,AFG,2,0.5,0,"Madushanka to Hazratullah Zazai, no run",swing and a miss outside off
1,AFG,2,0.6,4,"Madushanka to Hazratullah Zazai, FOUR runs",picked up over midwicket and it races away for four. Great start for Afghanistan
1,AFG,2,1.1,0,"Theekshana to Rahmanullah, no run","looked to heave over cover, and he's trapped in front. It looks plumb to me, really, and the umpire agrees. Afghanistan review, though. And what do I know!! Missing leg stump by some distance"
1,AFG,2,1.2,2w,"Theekshana to Rahmanullah, 2 wide",heading down leg and they come through for a run
1,AFG,2,1.2,0,"Theekshana to Hazratullah Zazai, no run",defended
1,AFG,2,1.3,0,"Theekshana to Hazratullah Zazai, no run",slapped to mid-off
1,AFG,2,1.4,0,"Theekshana to Hazratullah Zazai, no run",beat the outside edge by a whisker
1,AFG,2,1.5,2,"Theekshana to Hazratullah Zazai, 2 runs",slapped over cover in the air. Just about clears the infield
1,AFG,2,1.6,0,"Theekshana to Hazratullah Zazai, no run","driven to cover-point. Better over, but Sri Lanka need wickets"
1,AFG,2,2.1,0,"Pathirana to Rahmanullah, no run","wowzers, I did not know that action was coming. What I'd only describe as extreme Malinga"
1,AFG,2,2.2,4,"Pathirana to Rahmanullah, FOUR runs","Half-volley, and Hurbaz slaps it past mid-off for four"
1,AFG,2,2.3,6,"Pathirana to Rahmanullah, SIX runs",picked up the short ball and helped it over fine leg for six. Got a top edge but he only needed to use the bowler's pace
1,AFG,2,2.4,4,"Pathirana to Rahmanullah, FOUR runs","poor bowling, lovely batting. Half-volley once more, and Gurbaz times this beautifully to send it racing over cover for four"
1,AFG,2,2.5,2,"Pathirana to Rahmanullah, 2 runs",low full toss. Squeezed out to midwicket for a couple
1,AFG,2,2.6,0,"Pathirana to Rahmanullah, no run",slower ball to finish with a dot. And here's Sreshth to take you through to the end
1,AFG,2,3.1,1,"Hasaranga de Silva to Hazratullah Zazai, 1 run",full on off and the googly is drilled to long on with some power
1,AFG,2,3.2,1,"Hasaranga de Silva to Rahmanullah, 1 run",good length ball on off and turning into middle. Falls over slightly but gets a flick off his pads out of the way. To the man at deep square leg
1,AFG,2,3.3,2lb,"Hasaranga de Silva to Hazratullah Zazai, 2 leg byes","full ball, just outside leg. Zazai plays a paddle sweep, or atleast attempts one. Ball rolls past the keeper's right, and he comes back for two. Umpire confirms what I suspected: off the pads"
1,AFG,2,3.4,0,"Hasaranga de Silva to Hazratullah Zazai, no run",full just outside leg and he gets low to sweep. Hits his body
1,AFG,2,3.5,0,"Hasaranga de Silva to Hazratullah Zazai, no run","fullish on off. Zazai backs away, ends up being a tad too far to cut it well. Mistimed to the off side"
1,AFG,2,3.6,6,"Hasaranga de Silva to Hazratullah Zazai, SIX runs",there it is! The short-arm jab over deep midwicket. Tossed up on off. Zazai clears the front leg and then almost checks his slog after connecting with the ball.
1,AFG,2,4.1,6,"Theekshana to Rahmanullah, SIX runs",same treatment from the other end! Gurbaz moves across to the leg side and Theekshana follows him. Gurbaz gets low and plays a whippy sweep off his pads. Over deep backward square leg
1,AFG,2,4.2,6,"Theekshana to Rahmanullah, SIX runs",swatted over the bowler! Goes into the first few rols. Full and slightly wide. Gurbaz throws his hands at it with mid off inside the circle. Bit of a toe-end but there's enough power in those arms to clear long off
1,AFG,2,4.3,4,"Theekshana to Rahmanullah, FOUR runs",the best of the lot as this full ball outside off is caressed gloriously past the diving mid off fielder!
1,AFG,2,4.4,0,"Theekshana to Rahmanullah, no run",full ball outside off Gurbaz tries to shape for a sweep past the keeper but it hits his body. Soft lbw appeal turned down with impact definitely outside off
1,AFG,2,4.5,1,"Theekshana to Rahmanullah, 1 run",good length ball sliding into leg stump. Gurbaz backs away and pushes it towards cover for a quick run
1,AFG,2,4.6,4,"Theekshana to Hazratullah Zazai, FOUR runs","clattered past the diving mid off fielder! Full, slightly wide outside off. Zazai offers minimal footwork but puts his hands out to meet it away from his body. Then just drills it past the non-striker, and mid off's dive to his left is futile. 21 off the over"
1,AFG,2,5.1,6,"C Karunaratne to Rahmanullah, SIX runs","welcome to the attack, says Gurbaz. Bit of a pace-off delivery just outside off stuff. Gurbaz doesn't commit early, lets the ball come under his eyeline, and then lofts it high into the night sky. Soars over wide long off"
1,AFG,2,5.2,1lb,"C Karunaratne to Rahmanullah, 1 leg bye","quicker ball, full on middle and angling down leg. Gurbaz attempts the flick, misses, it hits his leg and rolls away to short fine leg"
